cik,company_name,form_type,date_filed,file_path,year,quarter
0001657249,"Road Marshall, Inc.",10-K,2020-12-15,edgar/data/1657249/0001599916-20-000158.txt,2020,QTR4
0001659207,Fellazo Corp,10-K,2020-12-28,edgar/data/1659207/0001640334-20-003150.txt,2020,QTR4
0001663641,Ando Holdings Ltd.,10-K/A,2020-11-20,edgar/data/1663641/0001393905-20-000336.txt,2020,QTR4
0001667313,"Zedge, Inc.",10-K/A,2020-12-09,edgar/data/1667313/0001213900-20-041739.txt,2020,QTR4
0001668523,GSG GROUP INC.,10-K,2020-12-01,edgar/data/1668523/0001640334-20-002974.txt,2020,QTR4
0001670196,Deseo Swimwear Inc.,10-K/A,2020-12-21,edgar/data/1670196/0001477932-20-007413.txt,2020,QTR4
0001672013,Acushnet Holdings Corp.,10-K/A,2020-12-17,edgar/data/1672013/0001672013-20-000065.txt,2020,QTR4
0001680689,Boxxy Inc.,10-K,2020-12-28,edgar/data/1680689/0001640334-20-003148.txt,2020,QTR4
0001685237,TEMIR CORP.,10-K,2020-12-15,edgar/data/1685237/0001213900-20-042718.txt,2020,QTR4
0001685570,"Nanovation Microtech, Inc.",10-K,2020-12-10,edgar/data/1685570/0001640334-20-003033.txt,2020,QTR4
0001691077,"Rideshare Rental, Inc.",10-K/A,2020-11-25,edgar/data/1691077/0001493152-20-022527.txt,2020,QTR4
0001697834,"Stem Holdings, Inc.",10-K/A,2020-12-28,edgar/data/1697834/0001493152-20-024369.txt,2020,QTR4
0001697834,"Stem Holdings, Inc.",10-K,2020-12-28,edgar/data/1697834/0001493152-20-024305.txt,2020,QTR4
0001699126,Ciclet Holdings Inc.,10-K,2020-12-02,edgar/data/1699126/0001640334-20-002990.txt,2020,QTR4
0001715611,BODY & MIND INC.,10-K,2020-12-15,edgar/data/1715611/0001640334-20-003083.txt,2020,QTR4
0001718224,"BT Brands, Inc.",10-K/A,2020-11-25,edgar/data/1718224/0001477932-20-006916.txt,2020,QTR4
0001750398,"Yumba Records Storage, Inc.",10-K,2020-12-15,edgar/data/1750398/0001477932-20-007321.txt,2020,QTR4
0001760026,"MESO NUMISMATICS, INC.",10-K,2020-12-09,edgar/data/1760026/0001213900-20-041866.txt,2020,QTR4
0001784440,Nowtransit Inc,10-K,2020-11-25,edgar/data/1784440/0001683168-20-004096.txt,2020,QTR4
0001786119,"Excellerant, Inc.",10-K,2020-11-20,edgar/data/1786119/0001393905-20-000342.txt,2020,QTR4
0001803284,HYGGE INTEGRATED BRANDS CORP.,10-K/A,2020-12-23,edgar/data/1803284/0001820271-20-000012.txt,2020,QTR4
0000023194,COMSTOCK RESOURCES INC,10-K/A,2020-11-12,edgar/data/23194/0000023194-20-000009.txt,2020,QTR4
0000276720,PURE CYCLE CORP,10-K,2020-11-10,edgar/data/276720/0001140361-20-025088.txt,2020,QTR4
0000315131,PHX MINERALS INC.,10-K,2020-12-10,edgar/data/315131/0001564590-20-056736.txt,2020,QTR4
0000357294,HOVNANIAN ENTERPRISES INC,10-K/A,2020-12-23,edgar/data/357294/0001437749-20-025823.txt,2020,QTR4
0000040570,GEE Group Inc.,10-K,2020-12-29,edgar/data/40570/0001477932-20-007544.txt,2020,QTR4
0000050493,INGLES MARKETS INC,10-K/A,2020-12-10,edgar/data/50493/0000050493-20-000021.txt,2020,QTR4
0000064472,GENCOR INDUSTRIES INC,10-K,2020-12-18,edgar/data/64472/0001193125-20-320959.txt,2020,QTR4
0000006951,APPLIED MATERIALS INC /DE,10-K,2020-12-11,edgar/data/6951/0000006951-20-000048.txt,2020,QTR4
0000072633,NORTH EUROPEAN OIL ROYALTY TRUST,10-K,2020-12-30,edgar/data/72633/0000072633-20-000027.txt,2020,QTR4
0000731802,ATMOS ENERGY CORP,10-K,2020-11-13,edgar/data/731802/0000731802-20-000040.txt,2020,QTR4
0000748790,"Global Clean Energy Holdings, Inc.",10-K/A,2020-11-20,edgar/data/748790/0001096906-20-000358.txt,2020,QTR4
