cik,company_name,form_type,date_filed,file_path,year,quarter
0001143513,GLADSTONE CAPITAL CORP,10-K,2020-11-10,edgar/data/1143513/0001193125-20-290152.txt,2020,QTR4
0001145255,HENNESSY ADVISORS INC,10-K,2020-12-01,edgar/data/1145255/0001193125-20-307086.txt,2020,QTR4
0001173281,"NeuBase Therapeutics, Inc.",10-K,2020-12-23,edgar/data/1173281/0001104659-20-139139.txt,2020,QTR4
0001176309,ORAMED PHARMACEUTICALS INC.,10-K,2020-11-24,edgar/data/1176309/0001213900-20-038924.txt,2020,QTR4
0001177648,ENANTA PHARMACEUTICALS INC,10-K,2020-11-25,edgar/data/1177648/0001564590-20-055233.txt,2020,QTR4
0001206942,GOLDEN GRAIN ENERGY,10-K,2020-12-28,edgar/data/1206942/0001206942-20-000032.txt,2020,QTR4
0001222333,SPDR GOLD TRUST,10-K,2020-11-24,edgar/data/1222333/0001193125-20-301561.txt,2020,QTR4
0001235468,LIQUIDITY SERVICES INC,10-K,2020-12-08,edgar/data/1235468/0001235468-20-000206.txt,2020,QTR4
0001260221,TransDigm Group INC,10-K,2020-11-12,edgar/data/1260221/0001260221-20-000099.txt,2020,QTR4
0001261654,UNIVERSAL TECHNICAL INSTITUTE INC,10-K,2020-12-03,edgar/data/1261654/0001261654-20-000071.txt,2020,QTR4
0001297937,"PARKS AMERICA, INC",10-K,2020-12-15,edgar/data/1297937/0001078782-20-000974.txt,2020,QTR4
0001301838,"Premier Product Group, Inc.",10-K,2020-11-09,edgar/data/1301838/0001721868-20-000500.txt,2020,QTR4
0001304741,Cannagistics Inc.,10-K,2020-11-17,edgar/data/1304741/0001663577-20-000425.txt,2020,QTR4
0001308547,"Dolby Laboratories, Inc.",10-K,2020-11-16,edgar/data/1308547/0001628280-20-016459.txt,2020,QTR4
0001314052,ANAVEX LIFE SCIENCES CORP.,10-K,2020-12-28,edgar/data/1314052/0001731122-20-001338.txt,2020,QTR4
0001314727,Sonos Inc,10-K,2020-11-23,edgar/data/1314727/0001314727-20-000052.txt,2020,QTR4
0001319161,Warner Music Group Corp.,10-K,2020-11-23,edgar/data/1319161/0001319161-20-000032.txt,2020,QTR4
0001333822,SemiLEDs Corp,10-K,2020-11-17,edgar/data/1333822/0001564590-20-054257.txt,2020,QTR4
0001337068,"Magyar Bancorp, Inc.",10-K,2020-12-18,edgar/data/1337068/0001174947-20-001225.txt,2020,QTR4
0001341726,"GULFSLOPE ENERGY, INC.",10-K,2020-12-29,edgar/data/1341726/0001580695-20-000455.txt,2020,QTR4
0001343465,Sun Pacific Holding Corp.,10-K/A,2020-12-07,edgar/data/1343465/0001493152-20-023037.txt,2020,QTR4
0001343465,Sun Pacific Holding Corp.,10-K/A,2020-12-17,edgar/data/1343465/0001493152-20-023828.txt,2020,QTR4
